Time,Input Type,Diagram Type,Time Taken
Time,Input Type,Diagram Type,Time Taken
11:18:02 11/14/16 GMT Standard Time,mouse,0,15.79370504
11:18:31 11/14/16 GMT Standard Time,track,1,19.5593629
11:19:43 11/14/16 GMT Standard Time,track,0,20.00753652
11:20:14 11/14/16 GMT Standard Time,mouse,1,22.39948622
11:20:54 11/14/16 GMT Standard Time,mouse,1,18.75429941
11:21:25 11/14/16 GMT Standard Time,track,0,20.86469239
11:22:09 11/14/16 GMT Standard Time,mouse,1,19.6335213
11:22:59 11/14/16 GMT Standard Time,track,0,21.89389722
11:24:26 11/14/16 GMT Standard Time,track,0,22.6046881
11:24:53 11/14/16 GMT Standard Time,mouse,1,17.79379271
11:25:45 11/14/16 GMT Standard Time,mouse,1,16.3937313
11:26:23 11/14/16 GMT Standard Time,track,0,23.02502795
11:31:04 11/14/16 GMT Standard Time,track,1,21.0524392028,
11:31:31 11/14/16 GMT Standard Time,mouse,0,17.5860069468,
11:32:37 11/14/16 GMT Standard Time,mouse,0,17.0181205006,
11:33:09 11/14/16 GMT Standard Time,track,1,19.6594267914,
11:34:06 11/14/16 GMT Standard Time,track,0,19.2437928348,
11:34:33 11/14/16 GMT Standard Time,mouse,1,14.9533533532,
11:38:27 11/14/16 GMT Standard Time,mouse,1,16.8576810275,
11:38:57 11/14/16 GMT Standard Time,track,0,19.195979979,
11:40:02 11/14/16 GMT Standard Time,track,1,24.1564413479,
11:40:29 11/14/16 GMT Standard Time,mouse,0,19.5452306887,
11:43:02 11/14/16 GMT Standard Time,track,1,23.2762397011,
11:43:26 11/14/16 GMT Standard Time,mouse,0,17.0250476191,
11:44:13 11/14/16 GMT Standard Time,mouse,0,14.6331402624,
11:44:41 11/14/16 GMT Standard Time,track,1,17.6815967355,
11:46:05 11/14/16 GMT Standard Time,track,0,23.5504942382,
11:46:33 11/14/16 GMT Standard Time,mouse,1,18.4337454765,
11:49:10 11/14/16 GMT Standard Time,mouse,1,22.8978427487,
11:49:49 11/14/16 GMT Standard Time,track,0,24.5293185867,
11:51:17 11/14/16 GMT Standard Time,track,1,39.0555828778,
11:51:47 11/14/16 GMT Standard Time,mouse,0,14.8574530886,
11:52:38 11/14/16 GMT Standard Time,mouse,0,12.9209732007,
11:53:09 11/14/16 GMT Standard Time,track,1,21.2261932152,
11:54:06 11/14/16 GMT Standard Time,track,0,22.7719477785,
11:54:35 11/14/16 GMT Standard Time,mouse,1,21.161370473,
11:57:04 11/14/16 GMT Standard Time,mouse,1,14.5059824337,
11:57:27 11/14/16 GMT Standard Time,track,0,16.1393283971,
11:58:49 11/14/16 GMT Standard Time,track,1,35.0437270618,
11:59:21 11/14/16 GMT Standard Time,mouse,0,20.3695483902,
12:00:13 11/14/16 GMT Standard Time,mouse,0,23.2097328625,
12:00:51 11/14/16 GMT Standard Time,track,1,29.2540748888,
12:01:44 11/14/16 GMT Standard Time,track,0,17.3150885284,
12:02:08 11/14/16 GMT Standard Time,mouse,1,16.3367756525,
12:03:06 11/14/16 GMT Standard Time,mouse,1,20.9619945038,
12:03:42 11/14/16 GMT Standard Time,track,0,26.8843169488,
12:04:44 11/14/16 GMT Standard Time,track,1,20.7703269747,
12:05:09 11/14/16 GMT Standard Time,mouse,0,16.6099533602,
12:08:14 11/14/16 GMT Standard Time,mouse,0,16.8733878562,
12:08:43 11/14/16 GMT Standard Time,track,1,22.4961344472,
12:13:59 11/14/16 GMT Standard Time,track,0,23.671980109,
12:14:31 11/14/16 GMT Standard Time,mouse,1,20.8343683954,
12:20:22 11/14/16 GMT Standard Time,mouse,1,14.0251998635,
12:20:46 11/14/16 GMT Standard Time,track,0,15.9600183206,
12:21:37 11/14/16 GMT Standard Time,track,1,22.7971211275,
12:22:02 11/14/16 GMT Standard Time,mouse,0,12.5933548756,
12:23:55 11/14/16 GMT Standard Time,mouse,0,13.1463307825,
12:24:26 11/14/16 GMT Standard Time,track,1,16.700167982,
12:25:52 11/14/16 GMT Standard Time,track,0,24.0607228357,
12:26:22 11/14/16 GMT Standard Time,mouse,1,18.2100010007,
12:28:33 11/14/16 GMT Standard Time,mouse,1,21.289802279,
12:29:10 11/14/16 GMT Standard Time,track,0,25.636398976,
12:34:08 11/14/16 GMT Standard Time,track,1,30.4684174198,
12:34:35 11/14/16 GMT Standard Time,mouse,0,18.3538253107,
12:42:44 11/14/16 GMT Standard Time,mouse,0,14.1770400959,
12:43:17 11/14/16 GMT Standard Time,track,1,20.1444020688,
12:48:09 11/14/16 GMT Standard Time,track,0,20.7407616324,
12:48:24 11/14/16 GMT Standard Time,mouse,1,11.0976258432,
